Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Molar Volume at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Cu2O, Rb2O, Ag2O, Cs2O, Tl2O, MnO, FeO, CoO, NiO, CuO, ZnO, SrO, CdO, PbO, SnO, Molar Volume at RT ( cm3/mol )
6055, GJ40-377971, Glass Physics & Chemistry, 2017, v. 043  p. 0302, , , , , , , , , , , , , , , , , , , , , 4.0, , , , 56.45
6056, GJ40-377972, Glass Physics & Chemistry, 2017, v. 043  p. 0302, , , , , , , , , , , , , , , , , , , , , 2.0, , , , 56.01
6057, GJ10-378126, Materials Res. Bull., 2017, v. 089  p. 0210, , 60.0, , , , , , , , , , , , , , , , , , , , , 30.0, , 27.08
6058, GJ10-378127, Materials Res. Bull., 2017, v. 089  p. 0210, , 60.0, , , , , , , , , , , , , , , , , , , , , 20.0, , 25.85
6059, GJ10-378128, Materials Res. Bull., 2017, v. 089  p. 0210, , 60.0, , , , , , , , , , , , , , , , , , , , , 10.0, , 24.37
6060, GJ10-378129, Materials Res. Bull., 2017, v. 089  p. 0210, , 60.0, , , , , , , , , , , , , , , , , , , , , , , 23.29
6061, GJ10-378130, Materials Res. Bull., 2017, v. 089  p. 0210, , 59.61, , , , , , , , , , , , , , , , , , , , , 29.8, , 26.45
6062, GJ10-378131, Materials Res. Bull., 2017, v. 089  p. 0210, , 59.63, , , , , , , , , , , , , , , , , , , , , 19.87, , 25.05
6063, GJ10-378132, Materials Res. Bull., 2017, v. 089  p. 0210, , 59.65, , , , , , , , , , , , , , , , , , , , , 9.94, , 23.776
6064, GJ10-378133, Materials Res. Bull., 2017, v. 089  p. 0210, , 59.65, , , , , , , , , , , , , , , , , , , , , , , 23.34
6065, GJ10-378141, Materials Res. Bull., 2017, v. 089  p. 0273, , 66.44, , , , , 33.22, , , , , , , , , , , , , , , , , , 73.08
6066, GJ10-378142, Materials Res. Bull., 2017, v. 089  p. 0273, , 66.45, , , , , 33.22, , , , , , , , , , , , , , , , , , 74.19
6067, GJ10-378143, Materials Res. Bull., 2017, v. 089  p. 0273, , 66.44, , , , , 33.22, , , , , , , , , , , , , , , , , , 72.9
6068, GJ10-378144, Materials Res. Bull., 2017, v. 089  p. 0273, , 66.45, , , , , 33.22, , , , , , , , , , , , , , , , , , 75.08
6069, GJ10-378145, Materials Res. Bull., 2017, v. 089  p. 0273, , 66.44, , , , , 33.22, , , , , , , , , , , , , , , , , , 72.89
6070, GJ03-378287, J. Materials Science, 2017, v. 052  p. 8159, 60.88, , 8.9, 3.23, 26.98, , , , , , , , , , , , , , , , , , , , 23.2
6071, GJ03-378288, J. Materials Science, 2017, v. 052  p. 8159, 62.58, , 9.27, 3.41, 24.75, , , , , , , , , , , , , , , , , , , , 23.53
6072, GJ03-378289, J. Materials Science, 2017, v. 052  p. 8159, 61.66, , 8.79, 3.87, 25.68, , , , , , , , , , , , , , , , , , , , 23.25
6073, GJ03-378290, J. Materials Science, 2017, v. 052  p. 8159, 61.6, , 9.23, 4.67, 24.51, , , , , , , , , , , , , , , , , , , , 23.35
6074, GJ03-378291, J. Materials Science, 2017, v. 052  p. 8159, 60.18, , 9.59, 5.38, 24.86, , , , , , , , , , , , , , , , , , , , 23.23
6075, GJ03-378292, J. Materials Science, 2017, v. 052  p. 8159, 60.17, , 8.27, 4.83, 26.73, , , , , , , , , , , , , , , , , , , , 22.92
6076, GJ03-378293, J. Materials Science, 2017, v. 052  p. 8159, 60.61, , 9.0, 2.52, 27.87, , , , , , , , , , , , , , , , , , , , 23.21
6077, GJ03-378294, J. Materials Science, 2017, v. 052  p. 8159, 63.11, , 7.82, 2.7, 26.38, , , , , , , , , , , , , , , , , , , , 23.27
6078, GJ03-378295, J. Materials Science, 2017, v. 052  p. 8159, 59.86, , 7.78, 5.03, 27.34, , , , , , , , , , , , , , , , , , , , 22.73
6079, GJ03-378296, J. Materials Science, 2017, v. 052  p. 8159, 62.36, , 8.28, 4.18, 25.19, , , , , , , , , , , , , , , , , , , , 23.24
6080, GJ03-378297, J. Materials Science, 2017, v. 052  p. 8159, 62.75, , 8.32, 3.18, 25.75, , , , , , , , , , , , , , , , , , , , 23.31
6081, GJ03-378298, J. Materials Science, 2017, v. 052  p. 8159, 60.66, , 9.23, 4.6, 25.51, , , , , , , , , , , , , , , , , , , , 23.26
6082, GJ03-378299, J. Materials Science, 2017, v. 052  p. 8159, 61.68, , 8.28, 3.47, 26.57, , , , , , , , , , , , , , , , , , , , 23.21
6083, GJ03-378300, J. Materials Science, 2017, v. 052  p. 8159, 63.02, , 9.23, 3.09, 24.66, , , , , , , , , , , , , , , , , , , , 23.57
6084, GJ03-378301, J. Materials Science, 2017, v. 052  p. 8159, 61.82, , 8.62, 5.18, 24.38, , , , , , , , , , , , , , , , , , , , 23.12
6085, GJ03-378302, J. Materials Science, 2017, v. 052  p. 8159, 61.83, , 7.81, 2.48, 27.89, , , , , , , , , , , , , , , , , , , , 22.87
6086, GJ03-378303, J. Materials Science, 2017, v. 052  p. 8159, 63.56, , 9.6, 3.12, 23.72, , , , , , , , , , , , , , , , , , , , 23.71
6087, GJ03-378304, J. Materials Science, 2017, v. 052  p. 8159, 58.61, , 7.87, 6.1, 27.42, , , , , , , , , , , , , , , , , , , , 22.63
6088, GJ03-378305, J. Materials Science, 2017, v. 052  p. 8159, 59.82, , 8.0, 4.65, 27.54, , , , , , , , , , , , , , , , , , , , 22.77
6089, GJ03-378306, J. Materials Science, 2017, v. 052  p. 8159, 62.52, , 9.72, 3.96, 23.8, , , , , , , , , , , , , , , , , , , , 23.58
6090, GJ03-378307, J. Materials Science, 2017, v. 052  p. 8159, 64.57, , 9.77, 2.11, 23.55, , , , , , , , , , , , , , , , , , , , 24.0
6091, GJ03-378308, J. Materials Science, 2017, v. 052  p. 8159, 60.91, , 9.19, 4.01, 25.89, , , , , , , , , , , , , , , , , , , , 23.33
6092, GJ03-378309, J. Materials Science, 2017, v. 052  p. 8159, 63.0, , 8.72, 4.7, 23.59, , , , , , , , , , , , , , , , , , , , 23.26
6093, GJ03-378310, J. Materials Science, 2017, v. 052  p. 8159, 60.28, , 9.73, 3.62, 26.36, , , , , , , , , , , , , , , , , , , , 23.38
6094, GJ03-378311, J. Materials Science, 2017, v. 052  p. 8159, 59.94, , 7.81, 5.07, 27.18, , , , , , , , , , , , , , , , , , , , 22.73
6095, GJ03-378312, J. Materials Science, 2017, v. 052  p. 8159, 62.58, , 8.75, 4.44, 24.23, , , , , , , , , , , , , , , , , , , , 23.28
6096, GJ03-378313, J. Materials Science, 2017, v. 052  p. 8159, 61.44, , 8.69, 4.12, 25.75, , , , , , , , , , , , , , , , , , , , 23.21
6097, GJ03-378356, J. Materials Science, 2017, v. 052  p. 8793, 56.5, , , , 16.5, , , 19.4, , , , , , , , , , , , , 5.0, , , , 22.9
6098, GJ05-378357, J. Materials Science, 2017, v. 052  p. 8793, 28.3, 28.2, , , 16.5, , , 19.4, , , , , , , , , , , , , 5.0, , , , 25.2
6099, GJ10-378358, J. Materials Science, 2017, v. 052  p. 8793, 14.2, 42.3, , , 16.5, , , 19.4, , , , , , , , , , , , , 5.0, , , , 26.5
6100, GJ10-378359, J. Materials Science, 2017, v. 052  p. 8793, , 56.5, , , 16.5, , , 19.4, , , , , , , , , , , , , 5.0, , , , 27.7
6101, GJ20-378364, J. Materials Science, 2017, v. 052  p. 8957, , , , , 21.1, , , 9.1, , , , , , , , , , , , , 19.3, , , , 38.15
6102, GJ20-378365, J. Materials Science, 2017, v. 052  p. 8957, , , , , 19.8, , , 9.9, , , , , , , , , , , 1.0, , 19.8, , , , 37.78
6103, GJ20-378366, J. Materials Science, 2017, v. 052  p. 8957, , , , , 19.6, , , 9.8, , , , , , , , , , , 2.0, , 19.6, , , , 37.68
6104, GJ20-378367, J. Materials Science, 2017, v. 052  p. 8957, , , , , 19.4, , , 9.7, , , , , , , , , , , 3.0, , 19.4, , , , 37.58
6105, GJ20-378368, J. Materials Science, 2017, v. 052  p. 8957, , , , , 19.2, , , 9.6, , , , , , , , , , , 4.0, , 19.2, , , , 37.34
6106, GJ20-378369, J. Materials Science, 2017, v. 052  p. 8957, , , , , 17.8, , , 10.8, , , , , , , , , , , 5.5, , 18.7, , , , 36.99
6107, GJ20-378370, J. Materials Science, 2017, v. 052  p. 8957, , , , , 19.8, , , 9.9, , , , , , , , , , , , , 19.8, , , , 38.33
6108, GJ20-378371, J. Materials Science, 2017, v. 052  p. 8957, , , , , 19.6, , , 9.8, , , , , , , , , , , , , 19.6, , , , 38.37
6109, GJ20-378372, J. Materials Science, 2017, v. 052  p. 8957, , , , , 19.0, , , 10.1, , , , , , , , , , , , , 18.6, , , , 38.15
6110, GJ20-378390, J. Materials Science, 2017, v. 052  p. 9166, , , , 24.0, 16.0, , , 5.0, , , , , , , , , , , , , , , , , 39.4
6111, GJ20-378391, J. Materials Science, 2017, v. 052  p. 9166, , , , 24.0, 16.0, , , 10.0, , , , , , , , , , , , , , , , , 37.0
6112, GJ20-378392, J. Materials Science, 2017, v. 052  p. 9166, , , , 24.0, 16.0, , , 15.0, , , , , , , , , , , , , , , , , 34.7
6113, GJ20-378393, J. Materials Science, 2017, v. 052  p. 9166, , , , 24.0, 16.0, , , 20.0, , , , , , , , , , , , , , , , , 32.6
6114, GJ10-378409, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 60.0, , , , , 40.0, , , , , , , , , , , , , , , , , , 23.6
6115, GJ10-378410, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 42.86, , , , , 35.71, , , , , , , , , , , , , , , , , , 27.01
6116, GJ28-378411, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 29.03, , , , , 32.26, , , , , , , , , , , , , , , , , , 30.69
6117, GJ28-378413, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 17.65, , , , , 29.41, , , , , , , , , , , , , , , , , , 35.35
6118, GJ28-378414, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 8.11, , , , , 27.03, , , , , , , , , , , , , , , , , , 38.91
6119, GJ28-378415, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , , , , , , 25.0, , , , , , , , , , , , , , , , , , 41.67
6120, GJ10-378416, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 67.0, , , , , 33.0, , , , , , , , , , , , , , , , , , 24.96
6121, GJ10-378417, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 47.37, , , , , 28.95, , , , , , , , , , , , , , , , , , 28.89
6122, GJ28-378418, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 31.7, , , , , 26.03, , , , , , , , , , , , , , , , , , 32.0
6123, GJ28-378419, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 25.09, , , , , 24.72, , , , , , , , , , , , , , , , , , 35.87
6124, GJ28-378420, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 19.12, , , , , 23.54, , , , , , , , , , , , , , , , , , 37.16
6125, GJ28-378421, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , 8.72, , , , , 21.48, , , , , , , , , , , , , , , , , , 41.19
6126, GJ28-378422, J. Non-Crystalline Solids, 2018, v. 482  p. 0014, , , , , , , 22.99, , , , , , , , , , , , , , , , , , 44.98
6127, GJ10-378434, J. Non-Crystalline Solids, 2018, v. 482  p. 0086, , 59.9, 10.0, , , 20.0, , , , , , , , , , , , , , 10.0, , , , , 28.26
6128, GJ10-378435, J. Non-Crystalline Solids, 2018, v. 482  p. 0086, , 59.7, 10.0, , , 20.0, , , , , , , , , , , , , , 10.0, , , , , 28.0
6129, GJ10-378436, J. Non-Crystalline Solids, 2018, v. 482  p. 0086, , 59.5, 10.0, , , 20.0, , , , , , , , , , , , , , 10.0, , , , , 25.8
6130, GJ10-378437, J. Non-Crystalline Solids, 2018, v. 482  p. 0086, , 59.0, 10.0, , , 20.0, , , , , , , , , , , , , , 10.0, , , , , 26.23
6131, GJ10-378438, J. Non-Crystalline Solids, 2018, v. 482  p. 0086, , 58.5, 10.0, , , 20.0, , , , , , , , , , , , , , 10.0, , , , , 26.3
6132, GJ10-378439, J. Non-Crystalline Solids, 2018, v. 482  p. 0086, , 58.0, 10.0, , , 20.0, , , , , , , , , , , , , , 10.0, , , , , 26.7
6133, GJ10-378440, J. Non-Crystalline Solids, 2018, v. 482  p. 0086, , 57.5, 10.0, , , 20.0, , , , , , , , , , , , , , 10.0, , , , , 26.8
6134, GJ10-378473, J. Non-Crystalline Solids, 2018, v. 482  p. 0160, , 73.0, , , , , , 25.0, , , , , , , , , , , , , , , , , 29.258
6135, GJ10-378474, J. Non-Crystalline Solids, 2018, v. 482  p. 0160, , 72.99, , , , , , 25.0, , , , , , , , , , , , , , , , , 28.901
6136, GJ10-378475, J. Non-Crystalline Solids, 2018, v. 482  p. 0160, , 72.97, , , , , , 24.99, , , , , , , , , , , , , , , , , 29.247
6137, GJ10-378476, J. Non-Crystalline Solids, 2018, v. 482  p. 0160, , 72.94, , , , , , 24.98, , , , , , , , , , , , , , , , , 29.903
6138, GJ28-378488, J. Non-Crystalline Solids, 2018, v. 482  p. 0223, , , , , , , , , , , , , , , , , , , , , 4.76, , , , 43.2
6139, GJ28-378489, J. Non-Crystalline Solids, 2018, v. 482  p. 0223, , , , , , , , , , , , , , , , , , , , , 9.09, , , , 28.4
6140, GJ28-378490, J. Non-Crystalline Solids, 2018, v. 482  p. 0223, , , , , , , , , , , , , , , , , , , , , 13.04, , , , 34.2
6141, GJ28-378491, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 30.0, , , , , , , , , , , , , 25.03
6142, GJ28-378492, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 30.0, , , , , , , , , , , , , 24.96
6143, GJ28-378493, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 30.0, , , , , , , , , , , , , 24.91
6144, GJ28-378494, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 30.0, , , , , , , , , , , , , 24.77
6145, GJ28-378495, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 30.0, , , , , , , , , , , , , 24.82
6146, GJ28-378496, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 30.0, , , , , , , , , , , , , 29.25
6147, GJ28-378497, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 40.0, , , , , , , , , , , , , 23.96
6148, GJ28-378498, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 40.0, , , , , , , , , , , , , 24.1
6149, GJ28-378499, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 40.0, , , , , , , , , , , , , 24.2
6150, GJ28-378500, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 40.0, , , , , , , , , , , , , 24.43
6151, GJ28-378501, J. Non-Crystalline Solids, 2018, v. 482  p. 0230, , , , , , , , , , , , 40.0, , , , , , , , , , , , , 24.48
6152, GJ28-378545, J. Non-Crystalline Solids, 2018, v. 483  p. 0018, , 20.9, , , , , , , , , , , , , , , , , , 29.85, , , , , 26.1172
6153, GJ28-378546, J. Non-Crystalline Solids, 2018, v. 483  p. 0018, , 20.8, , , , , , , , , , , , , , , , , , 29.7, , , , , 25.9762
6154, GJ28-378547, J. Non-Crystalline Solids, 2018, v. 483  p. 0018, , 20.59, , , , , , , , , , , , , , , , , , 29.4, , , , , 26.1472
6155, GJ28-378548, J. Non-Crystalline Solids, 2018, v. 483  p. 0018, , 20.38, , , , , , , , , , , , , , , , , , 29.1, , , , , 25.7496
6156, GJ28-378549, J. Non-Crystalline Solids, 2018, v. 483  p. 0018, , 20.17, , , , , , , , , , , , , , , , , , 28.8, , , , , 25.8159
6157, GJ28-378554, J. Non-Crystalline Solids, 2018, v. 483  p. 0043, , , , , , , , , , , , , , , , , , , , 10.0, , , 10.0, , 29.886
6158, GJ28-378555, J. Non-Crystalline Solids, 2018, v. 483  p. 0043, , , , , , , , , , , , , , , , , , , , 10.0, , , 12.0, , 29.4022
6159, GJ28-378556, J. Non-Crystalline Solids, 2018, v. 483  p. 0043, , , , , , , , , , , , , , , , , , , , 10.0, , , 14.0, , 28.9374
6160, GJ28-378557, J. Non-Crystalline Solids, 2018, v. 483  p. 0043, , , , , , , , , , , , , , , , , , , , 10.0, , , 16.0, , 28.6706
6161, GJ28-378558, J. Non-Crystalline Solids, 2018, v. 483  p. 0043, , , , , , , , , , , , , , , , , , , , 10.0, , , 18.0, , 27.9478
6162, GJ02-378586, J. Non-Crystalline Solids, 2018, v. 484  p. 0001, 65.0, , , , 15.0, , 20.0, , , , , , , , , , , , , , , , , , 19.94
6163, GJ02-378587, J. Non-Crystalline Solids, 2018, v. 484  p. 0001, 55.0, , , , 15.0, , 20.0, , , , , , , , , , , , , , , , , , 21.71
6164, GJ20-378623, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , , , , , 66.7, 35.5
6165, GJ20-378624, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 4.9, , , , 61.5, 35.0
6166, GJ20-378625, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 9.8, , , , 57.4, 34.0
6167, GJ20-378626, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 15.7, , , , 51.5, 33.2
6168, GJ20-378627, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 18.2, , , , 49.0, 32.9
6169, GJ20-378628, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 20.6, , , , 46.9, 32.5
6170, GJ20-378629, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 24.8, , , , 42.4, 31.7
6171, GJ20-378630, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 29.1, , , , 38.8, 30.7
6172, GJ20-378631, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 34.6, , , , 33.6, 30.4
6173, GJ20-378632, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 39.9, , , , 28.5, 29.0
6174, GJ20-378633, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 46.1, , , , 22.5, 28.5
6175, GJ20-378634, J. Non-Crystalline Solids, 2018, v. 484  p. 0132, , , , , , , , , , , , , , , , , , , , 50.3, , , , 17.9, 29.0
6176, GJ20-378650, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , , , , 50.5, , , , , , , , , , , , , , , , , 41.11
6177, GJ20-378651, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 4.0, , , 46.0, , , , , , , , , , , , , , , , , 40.03
6178, GJ20-378652, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 10.0, , , 41.0, , , , , , , , , , , , , , , , , 39.75
6179, GJ20-378653, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 16.0, , , 37.0, , , , , , , , , , , , , , , , , 39.47
6180, GJ20-378654, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 22.0, , , 30.0, , , , , , , , , , , , , , , , , 39.22
6181, GJ20-378655, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 25.0, , , 27.0, , , , , , , , , , , , , , , , , 38.8
6182, GJ20-378656, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 31.0, , , 22.0, , , , , , , , , , , , , , , , , 38.54
6183, GJ20-378657, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 35.0, , , 17.0, , , , , , , , , , , , , , , , , 38.13
6184, GJ20-378658, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 39.0, , , 12.0, , , , , , , , , , , , , , , , , 37.87
6185, GJ20-378659, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 39.0, , , 12.0, , , , , , , , , , , , , , , , , 37.47
6186, GJ20-378660, J. Non-Crystalline Solids, 2018, v. 485  p. 0001, , , , , 51.0, , , , , , , , , , , , , , , , , , , , 36.95
6187, GJ10-378667, J. Non-Crystalline Solids, 2018, v. 485  p. 0024, , 68.63, , , , , 29.41, , , , , , , , , , , , , , , , , , 26.56
6188, GJ10-378668, J. Non-Crystalline Solids, 2018, v. 485  p. 0024, , 68.63, , , , , 27.45, , , , , , , , , , , , , , , , 1.96, , 26.61
6189, GJ10-378669, J. Non-Crystalline Solids, 2018, v. 485  p. 0024, , 68.63, , , , , 24.51, , , , , , , , , , , , , , , , 4.9, , 26.97
6190, GJ10-378670, J. Non-Crystalline Solids, 2018, v. 485  p. 0024, , 68.63, , , , , 22.55, , , , , , , , , , , , , , , , 6.86, , 27.39
6191, GJ10-378671, J. Non-Crystalline Solids, 2018, v. 485  p. 0024, , 68.63, , , , , 19.61, , , , , , , , , , , , , , , , 9.8, , 28.49
6192, GJ10-378672, J. Non-Crystalline Solids, 2018, v. 485  p. 0024, , 68.63, , , , , 17.65, , , , , , , , , , , , , , , , 11.76, , 28.68
6193, GJ10-378673, J. Non-Crystalline Solids, 2018, v. 485  p. 0024, , 68.62, , , , , 14.71, , , , , , , , , , , , , , , , 14.71, , 28.88
6194, GJ10-378674, J. Non-Crystalline Solids, 2018, v. 485  p. 0042, , 60.0, , , 20.0, , , , , , , , , , , , , , , , , , , , 49.8
6195, GJ10-378675, J. Non-Crystalline Solids, 2018, v. 485  p. 0042, , 60.0, , , 20.0, , , , , , , , , , , , , , , , , , , , 51.1
6196, GJ10-378676, J. Non-Crystalline Solids, 2018, v. 485  p. 0042, , 60.0, , , 20.0, , , , , , , , , , , , , , , , , , , , 54.0
6197, GJ10-378677, J. Non-Crystalline Solids, 2018, v. 485  p. 0042, , 60.0, , , 20.0, , , , , , , , , , , , , , , , , , , , 58.0
6198, GJ10-378678, J. Non-Crystalline Solids, 2018, v. 485  p. 0042, , 60.0, , , 20.0, , , , , , , , , , , , , , , , , , , , 57.2
6199, GJ28-378684, J. Non-Crystalline Solids, 2018, v. 486  p. 0019, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 30.35
6200, GJ28-378685, J. Non-Crystalline Solids, 2018, v. 486  p. 0019, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 28.53
6201, GJ28-378686, J. Non-Crystalline Solids, 2018, v. 486  p. 0019, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.9
6202, GJ28-378687, J. Non-Crystalline Solids, 2018, v. 486  p. 0019, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.74
6203, GJ28-378688, J. Non-Crystalline Solids, 2018, v. 486  p. 0019, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.29
6204, GJ28-378689, J. Non-Crystalline Solids, 2018, v. 486  p. 0019, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.38
6205, GJ28-378773, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 45.0, , , , , , , , , , 5.0, , , , , , , , 96.0
6206, GJ28-378774, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 40.0, , , , , , , , , , 10.0, , , , , , , , 65.0
6207, GJ28-378775, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 35.0, , , , , , , , , , 15.0, , , , , , , , 37.0
6208, GJ28-378776, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 30.0, , , , , , , , , , 20.0, , , , , , , , 36.0
6209, GJ28-378777, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 25.0, , , , , , , , , , 25.0, , , , , , , , 35.0
6210, GJ28-378778, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 20.0, , , , , , , , , , 30.0, , , , , , , , 32.0
6211, GJ28-378779, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 15.0, , , , , , , , , , 35.0, , , , , , , , 50.0
6212, GJ28-378780, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 10.0, , , , , , , , , , 40.0, , , , , , , , 56.5
6213, GJ28-378781, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , 5.0, , , , , , , , , , 45.0, , , , , , , , 66.0
6214, GJ28-378782, J. Non-Crystalline Solids, 2018, v. 486  p. 0052, , 20.0, , , , , , , , , , , , , , , 50.0, , , , , , , , 94.0
6215, GJ28-378818, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , , , , , , , , , , , , , , , , , , , 10.2, , , 30.2, , 26.2
6216, GJ28-378819, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 10.2, , , , , , , , , , , , , , , , , , 10.25, , , 30.25, , 26.02
6217, GJ28-378820, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 19.55, , , , , , , , , , , , , , , , , , 10.45, , , 30.5, , 25.82
6218, GJ27-378821, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 29.6, , , , , , , , , , , , , , , , , , 10.5, , , 30.5, , 25.92
6219, GJ10-378822, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 48.37, , , , , , , , , , , , , , , , , , 10.85, , , 31.14, , 25.28
6220, GJ28-378823, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , , , , , , , , , , , , , , , , , , , 21.0, , , 21.2, , 25.31
6221, GJ28-378824, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 9.4, , , , , , , , , , , , , , , , , , 21.3, , , 21.0, , 25.16
6222, GJ28-378825, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 19.0, , , , , , , , , , , , , , , , , , 21.0, , , 21.3, , 25.08
6223, GJ10-378826, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 28.2, , , , , , , , , , , , , , , , , , 21.7, , , 22.0, , 24.84
6224, GJ10-378827, J. Non-Crystalline Solids, 2018, v. 489  p. 0040, , 47.0, , , , , , , , , , , , , , , , , , 22.3, , , 22.2, , 24.39
6225, GJ05-378859, J. Non-Crystalline Solids, 2018, v. 490  p. 0022, 72.2, 17.8, , , , , , 10.0, , , , , , , , , , , , , , , , , 25.53
6226, GJ05-378860, J. Non-Crystalline Solids, 2018, v. 490  p. 0022, 71.76, 17.7, , , , , , 9.94, , , , , , , , , , , , , , , , , 24.23
6227, GJ05-378861, J. Non-Crystalline Solids, 2018, v. 490  p. 0022, 71.32, 17.58, , , , , , 9.88, , , , , , , , , , , , , , , , , 24.46
6228, GJ05-378862, J. Non-Crystalline Solids, 2018, v. 490  p. 0022, 70.9, 17.48, , , , , , 9.82, , , , , , , , , , , , , , , , , 24.68
6229, GJ05-378863, J. Non-Crystalline Solids, 2018, v. 490  p. 0022, 70.45, 17.4, , , , , , 9.75, , , , , , , , , , , , , , , , , 24.74
